"","DEPARTMENT","MUNICIPALITY","PRECINCT","CC","FPV","MTS","UCS","MAS","X21F","PDC","MNR","PAN.BOL","VALID","BLANK","NULL.","VOTES","ELECTORATE","MAS.vote","Turnout"
"58","Chuquisaca","Sucre","Facultad de Tecnología",142,0,0,2,37,0,18,0,3,202,0,5,207,237,0.183,0.873
"59","Chuquisaca","Sucre","Facultad de Tecnología",140,0,0,0,37,1,18,2,2,200,0,3,203,226,0.185,0.898
"60","Chuquisaca","Sucre","Facultad de Tecnología",143,0,0,1,40,3,10,0,2,199,1,3,203,229,0.201,0.886
"61","Chuquisaca","Sucre","Facultad de Tecnología",157,0,0,0,29,3,10,0,0,199,0,8,207,232,0.146,0.892
"62","Chuquisaca","Sucre","Facultad de Tecnología",157,0,0,0,22,2,13,2,0,196,0,0,196,232,0.112,0.845
"63","Chuquisaca","Sucre","Col. Bernardo Monteagudo",145,0,0,0,39,1,6,0,1,192,1,7,200,226,0.203,0.885
"64","Chuquisaca","Sucre","Col. Bernardo Monteagudo",149,0,2,0,24,2,15,1,0,193,1,4,198,225,0.124,0.88
"65","Chuquisaca","Sucre","Col. Bernardo Monteagudo",149,0,2,1,31,2,12,1,2,200,1,4,205,229,0.155,0.895
"66","Chuquisaca","Sucre","Col. Bernardo Monteagudo",147,0,1,0,25,0,5,0,1,179,1,8,188,228,0.14,0.825
"67","Chuquisaca","Sucre","Col. Bernardo Monteagudo",150,0,0,0,20,2,7,2,1,182,0,5,187,219,0.11,0.854
"68","Chuquisaca","Sucre","Col. Bernardo Monteagudo",131,0,1,1,39,2,9,0,0,183,1,4,188,215,0.213,0.874
"69","Chuquisaca","Sucre","Coliseo Jorge Revilla Aldana",156,0,1,1,30,3,5,0,1,197,2,7,206,231,0.152,0.892
"70","Chuquisaca","Sucre","Coliseo Jorge Revilla Aldana",158,0,0,2,32,4,9,0,0,205,2,6,213,230,0.156,0.926
"71","Chuquisaca","Sucre","Coliseo Jorge Revilla Aldana",150,0,1,0,38,2,14,0,0,205,0,8,213,232,0.185,0.918
"72","Chuquisaca","Sucre","Coliseo Jorge Revilla Aldana",151,1,0,1,23,2,6,0,1,185,0,8,193,225,0.124,0.858
"73","Chuquisaca","Sucre","Coliseo Jorge Revilla Aldana",162,0,1,0,30,3,1,0,0,197,0,4,201,226,0.152,0.889
"74","Chuquisaca","Sucre","Coliseo Jorge Revilla Aldana",149,0,0,1,36,5,7,1,0,199,1,4,204,234,0.181,0.872
"75","Chuquisaca","Sucre","Colegio Junin",158,0,0,0,24,4,2,0,0,188,1,3,192,217,0.128,0.885
"76","Chuquisaca","Sucre","Colegio Junin",131,1,0,2,32,2,8,0,1,177,2,4,183,219,0.181,0.836
"77","Chuquisaca","Sucre","Colegio Junin",151,0,0,0,26,2,11,1,1,192,0,2,194,226,0.135,0.858
"78","Chuquisaca","Sucre","Colegio Junin",153,0,1,1,15,2,6,0,1,179,1,2,182,219,0.084,0.831
