"","Department","Municipality","Precinct","Turnout","MAS.vote","Fraud.type"
"256","Chuquisaca","Sucre","Col. Sagrado Corazon",0.851,0.118,"Clean"
"257","Chuquisaca","Sucre","Col. Sagrado Corazon",0.878,0.116,"Clean"
"258","Chuquisaca","Sucre","Fundacion Pachamama",0.904,0.187,"Clean"
"259","Chuquisaca","Sucre","Fundacion Pachamama",0.898,0.118,"Clean"
"260","Chuquisaca","Sucre","Fundacion Pachamama",0.887,0.182,"Clean"
"261","Chuquisaca","Sucre","Fundacion Pachamama",0.909,0.11,"Clean"
"262","Chuquisaca","Sucre","Fundacion Pachamama",0.886,0.14,"Clean"
"263","Chuquisaca","Sucre","Fundacion Pachamama",0.894,0.14,"Clean"
"264","Chuquisaca","Sucre","Kinder Gerardo Vaca Guzman",0.87,0.175,"Clean"
"265","Chuquisaca","Sucre","Kinder Gerardo Vaca Guzman",0.894,0.167,"Clean"
"266","Chuquisaca","Sucre","Kinder Gerardo Vaca Guzman",0.864,0.169,"Clean"
"267","Chuquisaca","Sucre","Escuela Daniel Calvo",0.888,0.106,"Clean"
"268","Chuquisaca","Sucre","Escuela Daniel Calvo",0.852,0.156,"Clean"
"269","Chuquisaca","Sucre","Escuela Daniel Calvo",0.854,0.128,"Clean"
"270","Chuquisaca","Sucre","Colegio 23 de Marzo",0.894,0.148,"Clean"
"271","Chuquisaca","Sucre","Colegio 23 de Marzo",0.866,0.158,"Clean"
"272","Chuquisaca","Sucre","Colegio 23 de Marzo",0.892,0.162,"Clean"
"273","Chuquisaca","Sucre","Colegio 23 de Marzo",0.917,0.149,"Clean"
"274","Chuquisaca","Sucre","Colegio 23 de Marzo",0.906,0.153,"Clean"
"275","Chuquisaca","Sucre","Colegio 23 de Marzo",0.913,0.188,"Clean"
"276","Chuquisaca","Sucre","Colegio 23 de Marzo",0.891,0.193,"Clean"
"277","Chuquisaca","Sucre","Colegio 23 de Marzo",0.878,0.176,"Clean"
"278","Chuquisaca","Sucre","Colegio 23 de Marzo",0.858,0.171,"Clean"
"279","Chuquisaca","Sucre","Colegio 23 de Marzo",0.879,0.114,"Clean"
"280","Chuquisaca","Sucre","Colegio 23 de Marzo",0.902,0.133,"Clean"
"281","Chuquisaca","Sucre","Salón Multifuncional Satélite",0.892,0.261,"Clean"
"282","Chuquisaca","Sucre","Salón Multifuncional Satélite",0.912,0.206,"Clean"
"283","Chuquisaca","Sucre","Salón Multifuncional Satélite",0.88,0.206,"Clean"
"284","Chuquisaca","Sucre","Salón Multifuncional Satélite",0.927,0.265,"Clean"
